stno,stat_name,SLV_m,LON,LAT,CITY,ADD,START,END,NOTE,OLD,NEW,url_nam,url_nam25
C1T890,壽豐,40.0,121.5079,23.8691,花蓮縣,壽豐鄉壽豐村壽山路19號(壽豐國民小學操場旁),1996/01/01,2017/05/02,因移位，本站於2017/5/2起進行儀器汰換，於2017/6/3變更為(C1Z120)站。,　,C1Z120,%E5%A3%BD%E8%B1%90,%25E5%25A3%25BD%25E8%25B1%2590
C1T900,西林,160.0,121.4178,23.8068,花蓮縣,萬榮鄉西林路8鄰114號(西林國民小學運動場旁),1996/01/01,2010/06/30,因擴充為氣象站，於2010/7/1升級為(C0T900)站。,　,C0T900,%E8%A5%BF%E6%9E%97,%25E8%25A5%25BF%25E6%259E%2597
C1T910,東壙,653.0,121.4047,23.8536,花蓮縣,萬榮鄉西林村1-1號(榮民工程處蔣公銅像旁),1996/01/01,2017/07/24,因道路中斷久未修復，自2005年起暫時停止觀測。,　,　,%E6%9D%B1%E5%A3%99,%25E6%259D%25B1%25E5%25A3%2599
C1T930,鳳林,130.0,121.4456,23.7436,花蓮縣,鳳林鎮鳳智里中正路2段1號(鳳林國民小學後方鐵道旁),1996/01/01,2017/05/04,因移位及升級，本站於2017/5/4起進行儀器汰換，於2017/6/3變更為(C0Z160)站。,　,C0Z160,%E9%B3%B3%E6%9E%97,%25E9%25B3%25B3%25E6%259E%2597
C1U511,古魯,492.0,121.6716,24.5716,宜蘭縣,大同鄉(羅東事業區第58林班內),1996/01/01,2018/02/23,原(C1U510)站因儀器汰換，於1996/1/1更變為(C1U511)站。,C1U510,　,%E5%8F%A4%E9%AD%AF,%25E5%258F%25A4%25E9%25AD%25AF
C1U521,雙連埤,517.0,121.6412,24.7529,宜蘭縣,員山鄉雙連埤地區(需徒步20分鐘),1996/01/01,2010/06/30,因擴充為氣象站，於2010/7/1升級為(C0U520)站。,C1U520,C0U520,%E9%9B%99%E9%80%A3%E5%9F%A4,%25E9%259B%2599%25E9%2580%25A3%25E5%259F%25A4
C1U580,北關,8.0,121.8734,24.9072,宜蘭縣,頭城鎮(北關海防班哨旁),1996/01/01,2017/10/21,原(C1U580)站因移位，於2017/12/1變更為(C1U880)站。,　,C1U880,%E5%8C%97%E9%97%9C,%25E5%258C%2597%25E9%2597%259C
C1U590,頭城,6.0,121.8146,24.8519,宜蘭縣,頭城鎮新建里新興路111號(頭城家商操場角落),1996/01/01,2015/05/14,　,　,　,%E9%A0%AD%E5%9F%8E,%25E9%25A0%25AD%25E5%259F%258E
C1U610,大礁溪,268.0,121.6783,24.785999999999998,宜蘭縣,礁溪鄉二結村1鄰9-1號(國立宜蘭大學實驗林場),1996/01/01,2017/10/18,原(C1U610)站因移位升氣，於2017/12/1變更為(C0U870)站。,　,　,%E5%A4%A7%E7%A4%81%E6%BA%AA,%25E5%25A4%25A7%25E7%25A4%2581%25E6%25BA%25AA
C1U620,壯圍,17.0,121.7896,24.7437,宜蘭縣,壯圍鄉壯五路40號(壯圍國民小學操場旁),1996/01/01,2010/06/30,因擴充為氣象站，於2010/7/1升級為(C0U620)站。,　,C0U620,%E5%A3%AF%E5%9C%8D,%25E5%25A3%25AF%25E5%259C%258D
C1U630,再連,140.0,121.6794,24.7151,宜蘭縣,員山鄉內城湖旁之山上果園,1996/01/01,2017/10/20,原(C1U630)站因移位升氣並更名，於2017/12/1變更為(C0U900)站。,　,C0U900,%E5%86%8D%E9%80%A3,%25E5%2586%258D%25E9%2580%25A3
C1U660,三星,103.0,121.6544,24.6706,宜蘭縣,三星鄉月眉街(三星鄉運動公園),1996/01/01,2017/11/03,原(C1U660)站因移位升氣，於2017/12/1變更為(C0U890)站。,　,C0U890,%E4%B8%89%E6%98%9F,%25E4%25B8%2589%25E6%2598%259F
C1U680,冬山,22.0,121.7935,24.6324,宜蘭縣,冬山鄉南興村照安路26號(冬山國民中學內),1996/01/01,2010/06/30,因擴充為氣象站，於2010/7/1升級為(C0U680)站。,　,C0U680,%E5%86%AC%E5%B1%B1,%25E5%2586%25AC%25E5%25B1%25B1
C1U700,土場,370.0,121.4971,24.5724,宜蘭縣,大同鄉太平山遊樂區售票口前方250公尺路旁,1996/01/01,2009/10/06,　,　,　,%E5%9C%9F%E5%A0%B4,%25E5%259C%259F%25E5%25A0%25B4
C1U720,南山,1260.0,121.3817,24.4374,宜蘭縣,大同鄉南山村4鄰埤南巷31-3號(南山國民小學內),1996/01/01,2017/11/17,本站於2017/11/17進行儀器汰換。因擴充為氣象站，於2018/3/23升級為(C0U720)站。,　,C0U720,%E5%8D%97%E5%B1%B1,%25E5%258D%2597%25E5%25B1%25B1
C1U860,頭城,5.0,121.8308,24.8532,宜蘭縣,頭城鎮協天路468號(中華電信頭城海纜站內),2015/06/01,2017/10/21,原(C1U860)站因移位升氣，於2017/12/1變更為(C0U860)站。,　,C0U860,%E9%A0%AD%E5%9F%8E,%25E9%25A0%25AD%25E5%259F%258E
C1V180,大寮,24.0,120.432,22.61,高雄市,大寮區琉球里農場路12-1號(大寮農場),1992/05/01,2013/06/13,　,　,　,%E5%A4%A7%E5%AF%AE,%25E5%25A4%25A7%25E5%25AF%25AE
C1V210,復興,700.0,120.8059,23.2224,高雄市,桃源區復興里復興巷1鄰15號,1992/05/01,2013/03/08,因擴充為氣象站，於2013/3/18升級為(C0V210)站，於2013/4/18完成驗收。,　,C0V210,%E5%BE%A9%E8%88%88,%25E5%25BE%25A9%25E8%2588%2588
C1V230,高中,731.0,120.7167,23.1349,高雄市,桃源區高中里,1992/05/01,2013/03/11,因儀器汰換，於2013/4/18更變為(C1V231)站。,　,C1V231,%E9%AB%98%E4%B8%AD,%25E9%25AB%2598%25E4%25B8%25AD
C1V240,新發,470.0,120.6601,23.0521,高雄市,六龜區荖濃里2鄰水冬瓜44號旁,1992/05/01,2013/09/27,　,　,　,%E6%96%B0%E7%99%BC,%25E6%2596%25B0%25E7%2599%25BC
C1V260,月眉,112.0,120.5398,22.9713,高雄市,杉林區月眉里山仙路1號月眉農場(杉林區月眉段2181號),1992/05/01,2013/07/31,因擴充為氣象站，於2013/8/1升級為(C0V260)站。,　,C0V260,%E6%9C%88%E7%9C%89,%25E6%259C%2588%25E7%259C%2589
C1V270,溪南,1792.0,120.8064,23.076,高雄市,桃源區荖濃溪事業區54林班地(籐枝山遊樂區右邊往林道車程約45分鐘),1992/05/01,2013/10/23,　,　,　,%E6%BA%AA%E5%8D%97,%25E6%25BA%25AA%25E5%258D%2597
C1V280,藤枝,1533.0,120.7542,23.0749,高雄市,桃源區,1992/05/01,1995/08/15,　,　,　,%E8%97%A4%E6%9E%9D,%25E8%2597%25A4%25E6%259E%259D
C1V290,新集,1166.0,120.7939,23.0352,高雄市,桃源區荖濃溪事業區34林班地(藤枝山遊樂區往下500公尺車程約2小時),1992/05/01,2013/07/31,　,　,　,%E6%96%B0%E9%9B%86,%25E6%2596%25B0%25E9%259B%2586
C1V320,吉東,95.0,120.5572,22.8412,高雄市,美濃區獅山里21鄰獅山街37號(高美大橋堤防邊),1992/05/01,2013/05/16,　,　,　,%E5%90%89%E6%9D%B1,%25E5%2590%2589%25E6%259D%25B1
C1V330,旗山,63.0,120.4943,22.8777,高雄市,旗山區糖廠里忠孝街33號旗山糖廠(旗尾段2052號),1992/05/01,2013/06/06,　,　,　,%E6%97%97%E5%B1%B1,%25E6%2597%2597%25E5%25B1%25B1
C1V350,溪埔,36.0,120.4468,22.7386,高雄市,大樹區溪埔里之台21線285k-286k間,1992/05/01,2013/08/10,因擴充為氣象站，於2013/12/1升級為(C0V350)站。,　,C0V350,%E6%BA%AA%E5%9F%94,%25E6%25BA%25AA%25E5%259F%2594
C1V360,木柵,94.0,120.4668,22.9755,高雄市,內門區木柵里木柵3號(木柵國民小學),1992/05/01,2013/09/16,因擴充為氣象站，於2013/12/1升級為(C0V360)站，站名更變為內門。,　,C0V360,%E6%9C%A8%E6%9F%B5,%25E6%259C%25A8%25E6%259F%25B5
C1V380,路竹,16.0,120.2922,22.8791,高雄市,路竹區環球路72號新園農場,1992/05/01,2011/12/06,　,　,　,%E8%B7%AF%E7%AB%B9,%25E8%25B7%25AF%25E7%25AB%25B9
C1V400,竹子腳,51.0,120.3434,22.813000000000002,高雄市,燕巢區西燕里工程路1號(阿公店水庫內),1992/05/01,2013/10/01,因擴充為氣象站，於2013/12/1升級為(C0V400)站，站名更變為阿公店。,　,C0V400,%E7%AB%B9%E5%AD%90%E8%85%B3,%25E7%25AB%25B9%25E5%25AD%2590%25E8%2585%25B3
C1V410,岡山,31.0,120.2977,22.7552,高雄市,橋頭區新莊里仕元路左邊一號白樹子農場(橋頭區白樹子段1035號),1992/05/01,2013/10/02,　,　,　,%E5%B2%A1%E5%B1%B1,%25E5%25B2%25A1%25E5%25B1%25B1
C1V420,鳳雄,55.0,120.3526,22.7508,高雄市,大社區保社里民權路126號鳳山厝農場(大社區保舍甲段1037號),1992/05/01,2013/09/30,　,　,　,%E9%B3%B3%E9%9B%84,%25E9%25B3%25B3%25E9%259B%2584
C1V430,左營,13.0,120.2953,22.6772,高雄市,左營區曾子路281號(左營國中內),1992/05/01,2013/09/03,因移位及擴充為氣象站，於2013/12/1升級為(C0V430)站。,　,C0V430,%E5%B7%A6%E7%87%9F,%25E5%25B7%25A6%25E7%2587%259F
C1V440,鳳山,27.0,120.3561,22.6467,高雄市,鳳山區文山路園藝巷4號(鳳山熱帶園藝試驗分所),1992/05/01,2013/09/03,因移位及擴充為氣象，於2013/12/1升級為(C0V440)站。,　,C0V440,%E9%B3%B3%E5%B1%B1,%25E9%25B3%25B3%25E5%25B1%25B1
